COUNTRY,Country,Year,"Agriculture, forestry, fisheries and veterinary",Arts and humanities,"Business, administration and law",Education,"Engineering, manufacturing and construction",Generic programmes and qualifications,Health and welfare,Information and Communication Technologies (ICTs),"Natural sciences, mathematics and statistics",Services,"Social sciences, journalism and information"
ARG,Argentina,2018,1.813,-4.357999999999999,6.795000000000002,-12.659999999999998,7.593000000000001,,-8.805,3.5820000000000003,1.896,2.0519999999999996,2.0920000000000005
AUS,Australia,2005,0.272,-4.127000000000001,4.1030000000000015,-6.988999999999999,10.629999999999999,0.0,-12.088000000000001,10.812,0.30400000000000027,0.3370000000000002,-3.2540000000000004
AUS,Australia,2010,0.3530000000000001,-2.7539999999999996,4.992000000000004,-5.893000000000001,10.992,0.0,-12.787000000000003,6.781000000000001,0.859,-0.014000000000000234,-2.5300000000000002
AUS,Australia,2011,0.484,-2.3840000000000003,4.829000000000001,-5.4110000000000005,11.52,0.0,-13.691,6.304,0.8290000000000002,-0.06899999999999995,-2.41
AUS,Australia,2012,0.271,-2.0709999999999997,4.814,-5.37,12.014000000000001,0.0,-14.257000000000001,5.958,0.9840000000000004,-0.009999999999999787,-2.3329999999999993
AUS,Australia,2013,0.244,-2.0540000000000003,5.122,-5.48,11.968,0.0,-14.256,5.66,1.1789999999999998,0.01100000000000012,-2.393
AUS,Australia,2014,0.247,-1.8260000000000005,5.158999999999999,-5.44,12.39,0.0,-15.075,5.890000000000001,1.2149999999999999,-0.23399999999999999,-2.3249999999999993
AUS,Australia,2015,0.11599999999999999,-2.4909999999999997,6.718999999999998,-6.334,11.099,0.0,-14.83,5.994,1.8099999999999996,0.5169999999999999,-2.6000000000000005
AUS,Australia,2016,-0.013999999999999901,-2.891,6.686,-8.03,11.674,0.001,-12.907000000000002,5.951,1.803,0.40700000000000003,-2.678000000000001
AUS,Australia,2017,-0.02399999999999991,-2.4339999999999993,6.825999999999997,-8.887,11.715,0.001,-12.701,6.09,1.6000000000000005,0.4610000000000001,-2.6469999999999994
AUS,Australia,2018,-0.049000000000000044,-3.266,7.708999999999996,-7.781,10.735,-0.001,-12.501,6.408,1.388,-0.4730000000000001,-2.17
AUS,Australia,2019,-0.06299999999999994,-2.6110000000000007,7.213999999999999,-8.309999999999999,11.236,0.003,-13.764999999999999,7.619,1.3149999999999995,-0.359,-2.2779999999999996
AUT,Austria,2010,0.028999999999999915,-4.155,-2.2719999999999985,-10.271999999999998,29.788000000000004,0.0,-5.695,8.085999999999999,0.41600000000000037,-12.074000000000002,-3.8500000000000005
AUT,Austria,2011,0.09200000000000008,-4.544999999999999,-1.2979999999999983,-10.582,28.028,0.0,-4.491,7.658000000000001,0.5009999999999994,-11.012,-4.353
AUT,Austria,2012,0.14500000000000002,-4.793,-1.1210000000000022,-12.024999999999999,27.491999999999997,0.0,-3.8470000000000004,7.263,0.8250000000000002,-9.959,-3.9799999999999995
AUT,Austria,2013,0.14000000000000012,-5.973999999999999,0.4579999999999984,-12.253,26.552,0.0,-3.8689999999999998,7.048,1.197,-8.831999999999999,-4.468
AUT,Austria,2014,0.30299999999999994,-4.630000000000001,-1.9939999999999998,-12.996,28.061,0.0,-4.143,7.129,1.1900000000000004,-9.196,-3.724
AUT,Austria,2015,0.482,-4.575,-1.6990000000000016,-13.746000000000002,27.287,0.0,-3.7769999999999992,6.785,1.5659999999999998,-8.580000000000002,-3.7430000000000003
AUT,Austria,2016,0.5330000000000001,-4.151000000000001,-1.8369999999999997,-13.477,27.656,0.0,-4.2700000000000005,6.654,1.242,-8.075000000000001,-4.273999999999999
AUT,Austria,2017,0.359,-3.9189999999999996,-2.376999999999999,-13.898999999999997,26.606999999999996,0.0,-3.9059999999999997,6.497,1.593,-7.8100000000000005,-3.144
AUT,Austria,2018,0.278,-4.382,-3.0380000000000003,-10.964000000000002,26.186,0.0,-4.776000000000001,6.866,1.689,-7.880000000000001,-3.976000000000001
AUT,Austria,2019,0.121,-3.705000000000001,-1.7799999999999976,-11.792000000000002,26.772,0.0,-4.994999999999999,6.938000000000001,1.1390000000000002,-8.11,-4.589
BEL,Belgium,2010,0.7999999999999998,-1.7390000000000008,4.789999999999999,-8.411999999999999,18.128999999999998,0.0020000000000000018,-16.331,4.265000000000001,2.5960000000000005,0.42199999999999993,-4.523999999999999
BEL,Belgium,2012,0.645,-1.17,5.3260000000000005,-8.423,18.775999999999996,-0.022,-17.622,4.349,2.7399999999999998,0.43100000000000027,-5.030000000000001
