"","Country","Year","Female_labor_force_participation_rate","Fertility_rate"
"2","Afghanistan",1979,6.83,7.449
"3","Afghanistan",2008,43.79,6.373
"4","Afghanistan",2012,16.01,5.562
"5","Afghanistan",2014,25.78,5.163
"6","Afghanistan",2017,21.17,4.633
"7","Afghanistan",2020,16.5,4.176
"521","Albania",1960,36.35,6.489
"522","Albania",1989,46.76,3.046
"523","Albania",1990,45.22,2.978
"524","Albania",1991,44.52,2.905
"525","Albania",1992,44.18,2.829
"526","Albania",1993,36.54,2.751
"527","Albania",1995,32.54,2.591
"528","Albania",1996,30.74,2.507
"529","Albania",1997,43.6,2.422
"530","Albania",1998,44.1,2.334
"531","Albania",1999,43.4,2.246
"532","Albania",2000,44.3,2.157
"533","Albania",2002,49.28,1.981
"534","Albania",2003,27.17,1.897
"535","Albania",2004,27.28,1.821
"536","Albania",2005,27.3,1.755
"537","Albania",2006,27.31,1.704
"538","Albania",2007,36.73,1.671
"539","Albania",2008,45.66,1.654
"540","Albania",2009,46.13,1.652
"541","Albania",2010,46.86,1.66
"542","Albania",2011,52.49,1.673
"543","Albania",2012,48.84,1.684
"544","Albania",2013,43.94,1.69
"545","Albania",2014,43.98,1.688
"546","Albania",2015,47.04,1.677
"547","Albania",2016,49.73,1.659
"548","Albania",2017,49.57,1.638
"549","Albania",2018,51.32,1.617
"550","Albania",2019,52.87,1.597
"780","Algeria",1966,2.91,7.676
"781","Algeria",1975,3.29,7.434
"782","Algeria",1977,3.79,7.234
"783","Algeria",1983,2.44,6.237
"784","Algeria",1984,5.93,6.038
"785","Algeria",1985,8.53,5.835
"786","Algeria",1987,7.78,5.412
"787","Algeria",1996,11.82,3.208
"788","Algeria",1997,7.37,2.988
"789","Algeria",2000,6.65,2.514
"790","Algeria",2009,13.95,2.799
"791","Algeria",2010,14.16,2.86
"792","Algeria",2012,15.8,2.952
"793","Algeria",2013,16.6,2.99
"794","Algeria",2014,15.58,3.022
"795","Algeria",2015,16.3,3.043
"796","Algeria",2016,16.94,3.052
"797","Algeria",2017,13.46,3.045
"1039","American Samoa",1960,42.51,NA
"1040","American Samoa",1970,14.57,NA
"1041","American Samoa",1974,38.27,NA
"1042","American Samoa",1980,34.01,NA
"1043","American Samoa",1990,42.37,NA
"1412","Angola",1960,7.6,6.708
"1413","Angola",2004,62.68,6.499
"1414","Angola",2009,60.92,6.26
"1415","Angola",2010,75.66,6.194
"1416","Angola",2011,74.91,6.12
"1417","Angola",2014,37.02,5.864
"1793","Antigua and Barbuda",1960,23.4,4.425
"1794","Antigua and Barbuda",1970,43.98,3.683
"1795","Antigua and Barbuda",1991,59.92,2.075
"1796","Antigua and Barbuda",2001,66.24,2.187
"2052","Arab World",2007,20.6177133050159,NA
"2053","Arab World",2008,22.013745726372,NA
"2054","Arab World",2009,19.6579321085085,NA
"2055","Arab World",2012,20.6324685156071,NA
"2056","Arab World",2014,19.1111239794086,NA
"2057","Arab World",2016,22.4068750830221,NA
"2058","Argentina",1960,23.23,3.109
"2059","Argentina",1970,26.49,3.079
"2060","Argentina",1977,29,3.359
"2061","Argentina",1978,29.39,3.359
"2062","Argentina",1979,29.74,3.339
"2063","Argentina",1980,27.36,3.301
"2064","Argentina",1983,27.85,3.159
"2065","Argentina",1985,28.04,3.095
"2066","Argentina",1987,28.18,3.059
"2067","Argentina",1989,29.07,3.022
"2068","Argentina",1990,29.11,2.997
"2069","Argentina",1991,39.6,2.965
"2070","Argentina",1992,35.2,2.925
"2071","Argentina",1993,37.9,2.879
"2072","Argentina",1994,36.8,2.828
"2073","Argentina",1995,41.33,2.773
"2074","Argentina",1996,44.5,2.718
"2075","Argentina",1997,44.5,2.666
"2076","Argentina",1998,45.5,2.618
"2077","Argentina",1999,46.8,2.577
"2078","Argentina",2000,44.11,2.542
"2079","Argentina",2001,43.2,2.512
"2080","Argentina",2002,45.6,2.486
"2081","Argentina",2003,48.97,2.461
"2082","Argentina",2004,50.31,2.438
"2083","Argentina",2005,49.48,2.416
"2084","Argentina",2006,50.1,2.397
"2085","Argentina",2007,48.9,2.38
"2086","Argentina",2008,48.42,2.366
"2087","Argentina",2009,49.13,2.355
"2088","Argentina",2010,48.05,2.346
"2089","Argentina",2011,48.24,2.338
"2090","Argentina",2012,48.38,2.33
"2091","Argentina",2013,47.96,2.322
"2092","Argentina",2014,47.71,2.312
"2093","Argentina",2017,48.01,2.275
"2094","Argentina",2018,49.52,2.261
"2095","Argentina",2019,50.3,2.247
"2317","Armenia",1997,54.32,1.832
"2318","Armenia",2000,35.28,1.648
"2319","Armenia",2007,42.37,1.702
"2320","Armenia",2008,48.61,1.712
"2321","Armenia",2009,51,1.719
"2322","Armenia",2010,52.2,1.722
"2323","Armenia",2011,51.18,1.724
"2324","Armenia",2012,49.7,1.725
"2325","Armenia",2013,51.29,1.728
"2326","Armenia",2014,55.17,1.732
"2327","Armenia",2015,54.17,1.738
"2328","Armenia",2016,52.37,1.744
"2329","Armenia",2017,52.76,1.75
"2330","Armenia",2018,47.59,1.755
"2331","Armenia",2019,49.43,1.758
"2576","Aruba",1960,25.73,4.82
"2577","Aruba",1972,30.97,2.691
"2578","Aruba",1981,40.09,2.377
"2579","Aruba",1991,50.7,2.221
"2580","Aruba",2000,56.11,1.872
"2581","Aruba",2007,59.45,1.76
"2582","Aruba",2010,59.52,1.768
"2583","Aruba",2011,58.8,1.779
"3012","Australia",1961,28.86,3.353
"3013","Australia",1966,35.17,3.011
"3014","Australia",1971,37.13,2.636
