"","Country","Indicator","Sex","Time","Value"
"1","Australia","Length of maternity leave","Women",1970,0
"2","Australia","Length of maternity leave","Women",1975,0
"3","Australia","Length of maternity leave","Women",1980,0
"4","Australia","Length of maternity leave","Women",1985,0
"5","Australia","Length of maternity leave","Women",1990,0
"6","Australia","Length of maternity leave","Women",1995,0
"7","Australia","Length of maternity leave","Women",2000,0
"8","Australia","Length of maternity leave","Women",2005,0
"9","Australia","Length of maternity leave","Women",2006,6
"10","Australia","Length of maternity leave","Women",2007,6
"11","Australia","Length of maternity leave","Women",2008,6
"12","Australia","Length of maternity leave","Women",2009,6
"13","Australia","Length of maternity leave","Women",2010,6
"14","Australia","Length of maternity leave","Women",2011,18
"15","Australia","Length of parental leave with job protection","Women",1970,0
"16","Australia","Length of parental leave with job protection","Women",1975,0
"17","Australia","Length of parental leave with job protection","Women",1980,0
"18","Australia","Length of parental leave with job protection","Women",1985,0
"19","Australia","Length of parental leave with job protection","Women",1990,0
"20","Australia","Length of parental leave with job protection","Women",1995,52
"21","Australia","Length of parental leave with job protection","Women",2000,52
"22","Australia","Length of parental leave with job protection","Women",2005,52
"23","Australia","Length of parental leave with job protection","Women",2006,46
"24","Australia","Length of parental leave with job protection","Women",2007,46
"25","Australia","Length of parental leave with job protection","Women",2008,46
"26","Australia","Length of parental leave with job protection","Women",2009,46
"27","Australia","Length of parental leave with job protection","Women",2010,46
"28","Australia","Length of parental leave with job protection","Women",2011,34
"29","Australia","Total length of paid maternity and parental leave","Women",1970,0
"30","Australia","Total length of paid maternity and parental leave","Women",1975,0
"31","Australia","Total length of paid maternity and parental leave","Women",1980,0
"32","Australia","Total length of paid maternity and parental leave","Women",1985,0
"33","Australia","Total length of paid maternity and parental leave","Women",1990,0
"34","Australia","Total length of paid maternity and parental leave","Women",1995,0
"35","Australia","Total length of paid maternity and parental leave","Women",2000,0
"36","Australia","Total length of paid maternity and parental leave","Women",2005,0
"37","Australia","Total length of paid maternity and parental leave","Women",2006,0
"38","Australia","Total length of paid maternity and parental leave","Women",2007,0
"39","Australia","Total length of paid maternity and parental leave","Women",2008,0
"40","Australia","Total length of paid maternity and parental leave","Women",2009,0
"41","Australia","Total length of paid maternity and parental leave","Women",2010,0
"42","Australia","Total length of paid maternity and parental leave","Women",2011,18
"43","Australia","Length of paid father-specific leave","Men",1970,0
"44","Australia","Length of paid father-specific leave","Men",1975,0
"45","Australia","Length of paid father-specific leave","Men",1980,0
"46","Australia","Length of paid father-specific leave","Men",1985,0
"47","Australia","Length of paid father-specific leave","Men",1990,0
"48","Australia","Length of paid father-specific leave","Men",1995,0
"49","Australia","Length of paid father-specific leave","Men",2000,0
"50","Australia","Length of paid father-specific leave","Men",2005,0
"51","Australia","Length of paid father-specific leave","Men",2006,0
"52","Australia","Length of paid father-specific leave","Men",2007,0
"53","Australia","Length of paid father-specific leave","Men",2008,0
"54","Australia","Length of paid father-specific leave","Men",2009,0
"55","Australia","Length of paid father-specific leave","Men",2010,0
"56","Australia","Length of paid father-specific leave","Men",2011,0
"57","Austria","Length of maternity leave","Women",1970,12
"58","Austria","Length of maternity leave","Women",1975,16
"59","Austria","Length of maternity leave","Women",1980,16
"60","Austria","Length of maternity leave","Women",1985,16
"61","Austria","Length of maternity leave","Women",1990,16
"62","Austria","Length of maternity leave","Women",1995,16
"63","Austria","Length of maternity leave","Women",2000,16
